amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,fund_score,overall_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.3400091602163293,1.4625040290030804,0.2698375144191807,1.46,-0.11265729075028275,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.317775371512347,1.1905585963067515,0.2926358334175106,1.36,-0.18188513572116294,82.25,2
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2958277033726251,1.3194419817117229,0.27330465038306057,1.45,-0.1297396816518679,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.32442459421956116,1.1043517629506803,0.2719535450128533,1.38,-0.16217208574644848,80.75,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.3248742855621496,1.0405688566490556,0.2119482701352573,0.8,-0.12588275606922517,80.0,5
119094,Axis Midcap Fund - Regular - Growth,Equity,0.35111802096428524,1.0086257891314458,0.2607666908004223,1.38,-0.20960883862039192,77.0,6
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.3045652442030289,1.222947214685128,0.23201007160635082,1.54,-0.1501238549864533,74.8125,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2917890157839378,1.246344140962054,0.2827036785246582,1.6,-0.1639674294693263,73.6875,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.2896769452874166,1.0410608155745147,0.21399784776051212,1.6,-0.11291596329323073,68.1875,9
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.2666992200118774,0.9533324621776285,0.3033696538698332,1.43,-0.2870600572176455,67.375,10
149323,DSP Midcap Fund - Regular - Growth,Equity,0.268699908289022,1.1434895599140875,0.26598577542043045,1.61,-0.17248105753451382,66.75,11
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.27000426614519246,0.9579170598994402,0.3005787817097677,1.52,-0.31171900300634214,66.6875,12
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.22652359830098634,1.095917599266092,0.21829397904608644,1.51,-0.17414075086657232,66.5625,13
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.16267372294624916,0.9677516848309513,0.1986859936686296,0.66,-0.11803493502764295,66.0,14
